last_price,volume,ticker,amount,vol_per_trade,exchange_percent,pe_ratio,liquid_asset,total_asset,pb_ratio
0.885999978,31529,500001,279.2528076,,0.160045683,,17.45419884,17.71999931,3.820612192
0.879000008,42614,500002,372.2272034,,0.216314718,,17.31629944,17.57999992,4.743659019
0.882000029,47770,500003,419.8832092,,0.242487311,,17.37540054,17.6400013,10.20833302
0.972000003,12694,500005,122.9891968,,0.064436547,,19.14839935,19.44000053,2.539184809
0.774999976,26683,500006,206.4481964,,0.135446697,,15.26749992,15.5,
0.859000027,8995,500008,77.32460022,,0.0456599,,16.92230034,17.18000031,8.975966454
0.859000027,84421,500009,722.4515991,,0.282817423,,25.64115143,25.77000046,5.079834461
0.855000019,62091,500011,529.651123,,0.208010048,,25.5217514,25.65000153,10.20286369
0.787,12837,500015,100.8282013,,0.043005027,,23.49194908,23.61000061,15.58415794
0.801999986,33144,500018,265.4223022,,0.111035176,,23.93969917,24.05999947,8.285123825
0.888000011,31913,500038,282.4930115,,0.160366833,,17.58239937,17.76000023,4.393864632
0.746999979,48858,500056,364.3218994,,0.163678393,,22.29794884,22.40999985,14.61839485
0.722000003,67191,500058,483.9544983,,0.225095481,,21.55170059,21.65999985,-555.3846436
0.59799999,95295,510010,570.5042114,,,,,,
0.598999977,0,510011,0,,,,,,
0,0,510012,0,,,,,,
0.177000001,179299,510020,314.1123047,,,,,,
0.175999999,0,510021,0,,,,,,
0,0,510022,0,,,,,,
2.131999969,17626,510030,376.1868896,,0.396964103,,,,
2.131999969,0,510031,0,,,,,,
0,0,510032,0,,,,,,
1.666000009,4048375,510050,67343.32813,,3.526901484,,,,1.278587937
1.667000055,0,510051,0,,,,,,
0,0,510052,0,,,,,,
1.036000013,22485,510060,231.5567932,,,,,,
1.036999941,0,510061,0,,,,,,
0,0,510062,0,,,,,,
0.925999999,11097,510070,103.2865982,,,,,,
0.934000015,0,510071,0,,,,,,
0,0,510072,0,,,,,,
0.762000024,5042,510090,38.35950089,,,,,,
0.763000011,0,510091,0,,,,,,
0,0,510092,0,,,,,,
2.00999999,19952,510110,402.3666992,,,,,,
2.019000053,0,510111,0,,,,,,
0,0,510112,0,,,,,,
1.639000058,30,510120,0.490700006,,0.001686435,,,,
1.674000025,0,510121,0,,,,,,
0,0,510122,0,,,,,,
2.138000011,5354,510130,114.1324005,,,,,,
2.144000053,0,510131,0,,,,,,
0,0,510132,0,,,,,,
2.414000034,48775,510150,1175.723999,,,,,,
2.417999983,0,510151,0,,,,,,
0,0,510152,0,,,,,,
0.317999989,25015,510160,79.06690216,,,,,,
0.317000002,0,510161,0,,,,,,
0,0,510162,0,,,,,,
2.200999975,101756,510170,2227.853516,,2.314109087,,,,
2.197000027,0,510171,0,,,,,,
0,0,510172,0,,,,,,
0.510999978,4183460,510180,21314.28711,,2.357248068,,,,
0.510999978,0,510181,0,,,,,,
0,0,510182,0,,,,,,
2.04399991,2988,510190,60.83100128,,0.086320959,,,,
2.049000025,0,510191,0,,,,,,
0,0,510192,0,,,,,,
2.174000025,1238,510210,26.86440086,,,,,,
2.187000036,0,510211,0,,,,,,
0,0,510212,0,,,,,,
2.357000113,62,510220,1.461899996,,0.014020805,,,,
2.378000021,0,510221,0,,,,,,
0,0,510222,0,,,,,,
2.859999895,13592,510230,388.449707,,0.629959226,,,,
2.85800004,0,510231,0,,,,,,
0,0,510232,0,,,,,,
0.643000007,10251,510260,65.96700287,,0.115117691,,,,
0.647000015,0,510261,0,,,,,,
0,0,510262,0,,,,,,
0.686999977,15821,510270,108.6612015,,,,,,
0.68900001,0,510271,0,,,,,,
0,0,510272,0,,,,,,
0.896000028,2678,510280,23.80859947,,0.068534866,,,,
0.897000015,0,510281,0,,,,,,
0,0,510282,0,,,,,,
0.790000021,1653,510290,12.96539974,,0.066003837,,,,
0.805000007,0,510291,0,,,,,,
0,0,510292,0,,,,,,
2.355999947,3686399,510300,86650.25,,3.842672825,,,,
2.357000113,0,510301,0,,,,,,
0,0,510302,0,,,,,,
1,0,510305,0,,,,,,
0.879999995,147510,510410,1299.49585,,3.420521736,,,,
0.880999982,0,510411,0,,,,,,
0,0,510412,0,,,,,,
0.943000019,18228,510420,170.3368073,,0.143476725,,,,
0.941999972,0,510421,0,,,,,,
0,0,510422,0,,,,,,
1.036999941,168330,510430,1740.416748,,1.426622152,,,,
1.036999941,0,510431,0,,,,,,
0,0,510432,0,,,,,,
1.032999992,379698,510440,3880.512695,,7.017798901,,,,
1.036000013,0,510441,0,,,,,,
0,0,510442,0,,,,,,
1.741999984,82969,510880,1448.617065,,0.945871353,,,,
1.745000005,0,510881,0,,,,,,
0,0,510882,0,,,,,,
112.4100037,0,519001,0,,,,,,
62.40000153,0,519003,0,,0,,,,
51.70000076,0,519005,0,,0,,,,
58.20000076,0,519007,0,,0,,,,
206.2799988,0,519008,0,,0,,,,
54.86999893,0,519011,0,,0,,,,
75.5,0,519013,0,,0,,,,
59.20000076,0,519015,0,,0,,,,
76.80000305,0,519017,0,,,,,,
61.43999863,0,519018,0,,0,,,,
61.40000153,0,519019,0,,,,,,
56.70000076,0,519021,0,,,,,,
106,0,519023,0,,0,,,,
83.19999695,0,519025,0,,0,,,,
88.59999847,0,519026,0,,0,,,,
72.90000153,0,519027,0,,0,,,,
119.0999985,0,519028,0,,,,,,
119.0999985,0,519029,0,,0,,,,
104.1999969,0,519030,0,,0,,,,
71,0,519032,0,,0,,,,
94.90000153,0,519033,0,,0,,,,
90.30000305,0,519034,0,,0,,,,
69.48000336,0,519035,0,,,,,,
71.04000092,0,519039,0,,,,,,
112.8000031,0,519066,0,,0,,,,
103.6800003,0,519068,0,,0,,,,
105.0999985,0,519069,0,,0,,,,
102.6999969,0,519078,0,,0,,,,
69.77999878,0,519087,0,,0,,,,
113.6999969,0,519089,0,,0,,,,
83.09999847,0,519093,0,,0,,,,
111.5999985,0,519095,0,,0,,,,
80.5,0,519097,0,,0,,,,
86.5,0,519099,0,,0,,,,
67.09999847,0,519100,0,,0,,,,
73.59999847,0,519110,0,,0,,,,
108.9000015,0,519111,0,,0,,,,
83.30000305,0,519113,0,,0,,,,
76.69999695,0,519115,0,,0,,,,
73.80000305,0,519116,0,,0,,,,
91.5,0,519117,0,,0,,,,
0,0,519118,0,,0,,,,
99.19999695,0,519150,0,,,,,,
51.70000076,0,519180,0,,,,,,
46.66999817,0,519181,0,,0,,,,
84.66000366,0,519183,0,,0,,,,
81.12999725,0,519185,0,,0,,,,
105.9400024,0,519186,0,,0,,,,
0,0,519188,0,,0,,,,
0,0,519189,0,,0,,,,
70.70999908,0,519300,0,,0,,,,
89.08999634,0,519505,0,,0,,,,
95.66000366,0,519506,0,,0,,,,
300.1400146,0,519508,0,,0,,,,
65.59999847,0,519509,0,,0,,,,
82.87000275,0,519518,0,,,,,,
107.3899994,0,519519,0,,0,,,,
143.4799957,0,519598,0,,,,,,
136.8899994,0,519599,0,,,,,,
100.4700012,0,519666,0,,0,,,,
101.2900009,0,519668,0,,0,,,,
95.40000153,0,519670,0,,0,,,,
67.19999695,0,519671,0,,0,,,,
75.09999847,0,519672,0,,0,,,,
91.06999969,0,519674,0,,,,,,
105.0999985,0,519676,0,,0,,,,
97.69999695,0,519678,0,,0,,,,
0,0,519679,0,,0,,,,
99.19000244,0,519680,0,,0,,,,
99.90000153,0,519683,0,,0,,,,
67.16999817,0,519688,0,,0,,,,
124.6200027,0,519690,0,,0,,,,
242.6699982,0,519692,0,,0,,,,
102.5899963,0,519698,0,,0,,,,
84.30000305,0,519700,0,,0,,,,
75,0,519702,0,,0,,,,
82.30000305,0,519704,0,,0,,,,
85.40000153,0,519706,0,,0,,,,
98.59999847,0,519712,0,,,,,,
0,0,519714,0,,,,,,
100.4499969,0,519976,0,,0,,,,
100.6900024,0,519977,0,,0,,,,
92,0,519979,0,,0,,,,
69.59999847,0,519983,0,,0,,,,
106.7699966,0,519985,0,,0,,,,
68.90000153,0,519987,0,,0,,,,
102.5999985,0,519989,0,,0,,,,
82,0,519991,0,,0,,,,
59.90000153,0,519993,0,,0,,,,
60.34000015,0,519995,0,,0,,,,
56.75999832,0,519997,0,,0,,,,
0,0,521714,0,,,,,,
0,0,522001,0,,,,,,
0,0,522003,0,,,,,,
0,0,522005,0,,,,,,
0,0,522007,0,,,,,,
0,0,522008,0,,,,,,
0,0,522011,0,,,,,,
0,0,522013,0,,,,,,
0,0,522015,0,,,,,,
0,0,522017,0,,,,,,
0,0,522018,0,,,,,,
0,0,522019,0,,,,,,
